"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L04","1","sub","13","0.02882611","0.022352864","0.014328447","0.011121467","0.009882788","0.0378919"
"L04","1","sub","14","0.029196621","0.021288046","0.014293167","0.011458817","0.009609877","0.0377519"
"L04","1","sub","15","0.029081162","0.022100335","0.014466552","0.011730078","0.0097435425","0.0380994"
"L05","1","sub","1","0.04166495","0.03627994","0.025947106","0.018057587","0.013307108","0.055419"
"L05","1","sub","2","0.03975763","0.03750254","0.026654934","0.017883485","0.013030652","0.0548382"
"L05","1","sub","3","0.03830197","0.03546344","0.02549942","0.018235577","0.013549517","0.0532049"
"L05","1","sub","4","0.038897015","0.03406671","0.023620999","0.016780053","0.012865441","0.05195"
"L05","1","sub","5","0.034692436","0.03025748","0.022309718","0.016084842","0.012460438","0.0478719"
"L05","1","sub","6","0.04177284","0.03613358","0.025573869","0.017934589","0.013610321","0.0553472"
"L05","1","sub","7","0.0373496","0.03245491","0.02341333","0.016511481","0.013298759","0.0505275"
"L05","1","sub","8","0.0390022","0.0335936","0.024483854","0.01700062","0.012667655","0.0521359"
"L05","1","sub","9","0.03954223","0.03347115","0.023777869","0.017850194","0.012986715","0.052369"
"L05","1","sub","10","0.06407913","0.05345618","0.037733442","0.0268136","0.01883738","0.0805196"
"L05","1","sub","11","0.060389216","0.05249959","0.04072098","0.027999662","0.01977877","0.0800958"
"L05","1","sub","12","0.03549613","0.03167425","0.023499865","0.016973522","0.012710822","0.0493887"
"L05","1","sub","13","0.04228842","0.036981269","0.026305579","0.01823761","0.013400565","0.0562412"
"L05","1","sub","14","0.03718833","0.035240147","0.025047428","0.017506759","0.012867394","0.0521766"
"L05","1","sub","15","0.037910959","0.034417949","0.02521701","0.017826347","0.012966564","0.052275"
"L06","1","sub","1","0.02916847","0.023444558","0.016149912","0.012478843","0.010004306","0.0392587"
"L06","1","sub","2","0.024710072","0.020405881","0.0142860201","0.011141958","0.00950201","0.03496"
"L06","1","sub","3","0.025320392","0.020723977","0.014019664","0.011053878","0.009394613","0.0352507"
"L06","1","sub","4","0.031480645","0.024127849","0.015902341","0.011634617","0.009479348","0.0403685"
"L06","1","sub","5","0.028375776","0.022516431","0.014663167","0.01103618","0.009718105","0.0377404"
"L06","1","sub","6","0.020508736","0.017203803","0.01263138","0.010202433","0.009104023","0.0315273"
"L06","1","sub","7","0.019773865","0.016718399","0.012717484","0.01026602","0.009033792","0.030967"
"L06","1","sub","8","0.020523287","0.016539059","0.012090007","0.010103263","0.009092858","0.0310539"
"L06","1","sub","9","0.018183308","0.015194167","0.011923196","0.010100638","0.008974298","0.0294674"
"L06","1","sub","10","0.01823571","0.01509465","0.011947512","0.0097690364","0.009160281","0.0295182"
"L06","1","sub","11","0.0187404","0.014968157","0.011702172","0.00984837","0.009207882","0.0298528"
"L06","1","sub","12","0.019536347","0.01602678","0.012065653","0.0099919167","0.009502343","0.0305077"
"L06","1","sub","13","0.025264658","0.017662777","0.012955066","0.010767505","0.009334504","0.0340994"
"L06","1","sub","14","0.03158146","0.020411025","0.014398226","0.011314099","0.009755293","0.0390225"
"L06","1","sub","15","0.02796473","0.018388551","0.013269198","0.010639982","0.009603424","0.0357596"
"L07","1","sub","1","0.06913618","0.05614168","0.040716433","0.02740217","0.018500797","0.0847773"
"L07","1","sub","2","0.06453123","0.05482728","0.03863801","0.024753262","0.017459312","0.0803898"
"L07","1","sub","3","0.06681887","0.05479056","0.036714095","0.02423226","0.01727949","0.0807974"
"L07","1","sub","4","0.06671893","0.05431064","0.03566644","0.023365586","0.016155081","0.0800354"
"L07","1","sub","5","0.06652878","0.05310527","0.0379141","0.02504742","0.017451098","0.080664"
"L07","1","sub","6","0.06533594","0.05569092","0.03718726","0.024077947","0.017002347","0.0806126"
"L07","1","sub","7","0.06659662","0.05523246","0.036143837","0.023820421","0.016650184","0.0807821"
"L07","1","sub","8","0.06862312","0.05473737","0.03756744","0.02412208","0.016769641","0.0816806"
"L07","1","sub","9","0.06890412","0.05596165","0.037543053","0.02481182","0.017651774","0.0827502"
"L07","1","sub","10","0.07018435","0.0558801","0.03831813","0.02505973","0.017532797","0.0841607"
"L07","1","sub","11","0.07156186","0.05550955","0.03761959","0.02506448","0.0172768","0.0838376"
"L07","1","sub","12","0.06881833","0.05576309","0.0363799","0.02426496","0.01700756","0.0819891"
"L07","1","sub","13","0.07070602","0.05682","0.038153026","0.02425452","0.016259444","0.0846144"
"L07","1","sub","14","0.07107352","0.05774102","0.03730484","0.022829738","0.016946161","0.084042"
"L07","1","sub","15","0.07176631","0.058477835","0.03745852","0.024346734","0.016722993","0.0854348"
"L08","1","sub","1","0.06552831","0.05319641","0.034872135","0.02148154","0.0150024686","0.0784513"
"L08","1","sub","2","0.051052471","0.03871263","0.025638083","0.01692488","0.0122722904","0.0601455"
"L08","1","sub","3","0.03676412","0.02692356","0.016753678","0.012957114","0.010119667","0.0448158"
"L08","1","sub","4","0.03612776","0.02631491","0.017578947","0.01248454","0.010407439","0.0442229"
"L08","1","sub","5","0.03319774","0.024119213","0.016886577","0.012441882","0.010235857","0.0417219"
"L08","1","sub","6","0.024778756","0.018830556","0.01326956","0.010468851","0.009130578","0.0343169"
"L08","1","sub","7","0.02445355","0.018106923","0.013438809","0.010546468","0.009201442","0.0338954"
"L08","1","sub","8","0.020799904","0.015112642","0.01107615","0.009901691","0.00902395","0.0303986"
"L08","1","sub","9","0.0165595108","0.012468791","0.010522586","0.009485384","0.008710426","0.0276251"
"L08","1","sub","10","0.014344224","0.011843606","0.010043866","0.009385506","0.008600156","0.0264425"
"L08","1","sub","11","0.014864456","0.012266377","0.010255358","0.009369479","0.008678831","0.0268036"
"L08","1","sub","12","0.015284","0.011930896","0.009943219","0.009138255","0.008752896","0.026676"
"L08","1","sub","13","0.014950388","0.011827764","0.010225532","0.009250196","0.008650795","0.0267516"
