"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L04","1","add","14","0.067366","0.018527099","0.014748446","0.01942199","0.01274437","0.0626025"
"L04","1","add","15","0.0802642","0.02504154","0.010633832","0.01911672","0.012154356","0.0691717"
"L05","1","add","1","0.051074513","0.03223101","0.02327413","0.01447761","0.00990073","0.0598523"
"L05","1","add","2","0.04659177","0.04961119","0.020785","0.014213208","0.0097568565","0.0609401"
"L05","1","add","3","0.04002846","0.02987214","0.0308611","0.03800146","0.012264698","0.0604588"
"L05","1","add","4","0.03821628","0.041525037","0.036799082","0.020318845","0.013961429","0.0613791"
"L05","1","add","5","0.03331242","0.022217105","0.016804318","0.016561893","0.012067295","0.0461143"
"L05","1","add","6","0.050585457","0.04153286","0.03081946","0.014139307","0.013731255","0.063276"
"L05","1","add","7","0.05680452","0.026005124","0.018147382","0.02926261","0.01210081","0.0604246"
"L05","1","add","8","0.03502622","0.03881484","0.02124147","0.014521764","0.014392183","0.05232"
"L05","1","add","9","0.037252919","0.02568677","0.023359436","0.018027682","0.012914628","0.0503009"
"L05","1","add","10","0.07549631","0.051491565","0.03866457","0.028709495","0.02686218","0.0887368"
"L05","1","add","11","0.07219247","0.06271319","0.05870059","0.028979574","0.018382715","0.0933406"
"L05","1","add","12","0.05592804","0.04074078","0.01975075","0.02166723","0.009687803","0.0622222"
"L05","1","add","13","0.07286243","0.03461578","0.03543563","0.015001117","0.01725639","0.0740409"
"L05","1","add","14","0.0520046","0.04802826","0.03207556","0.013303788","0.011494292","0.068101"
"L05","1","add","15","0.03544457","0.0353279","0.0257355","0.014237857","0.017503404","0.0531403"
"L06","1","add","1","0.024216759","0.02667534","0.013128568","0.01566966","0.007281343","0.0510323"
"L06","1","add","2","0.03463157","0.014829916","0.02158711","0.010646275","0.01486259","0.0500535"
"L06","1","add","3","0.03870005","0.02890958","0.02635537","0.008339548","0.010199811","0.0549053"
"L06","1","add","4","0.04088557","0.01922221","0.01286581","0.01714209","0.011594344","0.0527555"
"L06","1","add","5","0.04811315","0.021785566","0.015744707","0.011856615","0.011800342","0.0602415"
"L06","1","add","6","0.017507887","0.02716696","0.02724452","0.01932294","0.01362233","0.0508224"
"L06","1","add","7","0.03511282","0.02885777","0.017154167","0.0092190043","0.01649332","0.0510874"
"L06","1","add","8","0.0502071","0.0176611482","0.015254295","0.010109012","0.009254295","0.0587881"
"L06","1","add","9","0.02658437","0.019160022","0.02070119","0.009477111","0.009222138","0.0458637"
"L06","1","add","10","0.03457116","0.014453306","0.01841562","0.010105683","0.007442965","0.0504225"
"L06","1","add","11","0.03878106","0.0128325","0.019974423","0.008233869","0.008458501","0.0490573"
"L06","1","add","12","0.02956136","0.02233143","0.02209064","0.011253129","0.006988348","0.049857"
"L06","1","add","13","0.0468904","0.017116376","0.013160935","0.008622777","0.007693882","0.0561367"
"L06","1","add","14","0.05005875","0.016801912","0.02049747","0.012587252","0.012452071","0.0569682"
"L06","1","add","15","0.04025739","0.01609664","0.02671207","0.007965763","0.007887154","0.0541516"
"L07","1","add","1","0.07576264","0.04504551","0.05598075","0.02271952","0.017974905","0.0899028"
"L07","1","add","2","0.09753756","0.070239834","0.027851632","0.023261834","0.0137873366","0.0990334"
"L07","1","add","3","0.07372459","0.04243108","0.03507334","0.01757221","0.02587204","0.0810451"
"L07","1","add","4","0.05634597","0.04395189","0.027433609","0.03151183","0.016042105","0.0733"
"L07","1","add","5","0.06120479","0.07249242","0.050529113","0.020587208","0.022060999","0.0907344"
"L07","1","add","6","0.06459105","0.05427497","0.0720347","0.02746965","0.0267606","0.0946637"
"L07","1","add","7","0.1105566","0.046053914","0.026088376","0.018273558","0.02826267","0.0988755"
"L07","1","add","8","0.049772472","0.06731276","0.027751008","0.0262849","0.015953349","0.0798524"
"L07","1","add","9","0.06790871","0.048463898","0.04274051","0.01901198","0.02582371","0.0837044"
"L07","1","add","10","0.056031246","0.06112181","0.05091119","0.02902869","0.02523418","0.0879237"
"L07","1","add","11","0.06266468","0.04109612","0.049513364","0.024533513","0.016999897","0.0785854"
"L07","1","add","12","0.11194634","0.0486259","0.04270635","0.031982107","0.013569496","0.1031934"
"L07","1","add","13","0.1472095","0.05877375","0.04639587","0.021947412","0.03032572","0.1273001"
"L07","1","add","14","0.10758221","0.04160803","0.046723951","0.02933652","0.025529628","0.1015606"
"L07","1","add","15","0.09408962","0.06857918","0.04972963","0.020222227","0.02385758","0.1039135"
"L08","1","add","1","0.08676812","0.04961455","0.02810209","0.018385666","0.014256996","0.0870476"
"L08","1","add","2","0.0802057","0.06321956","0.02565325","0.02055865","0.02312611","0.0877253"
"L08","1","add","3","0.05049442","0.04244893","0.0135865811","0.02061613","0.01427922","0.062135"
"L08","1","add","4","0.04539669","0.03289559","0.01252417","0.012923739","0.01415692","0.055251"
"L08","1","add","5","0.05721153","0.0260630521","0.02270406","0.02685319","0.014281486","0.0621093"
"L08","1","add","6","0.02550654","0.0473121","0.015355564","0.016610126","0.01711699","0.0549262"
"L08","1","add","7","0.029199268","0.02280838","0.010159786","0.02171187","0.01862867","0.0453799"
"L08","1","add","8","0.016441137","0.03488931","0.017323162","0.01922074","0.01498013","0.0476118"
"L08","1","add","9","0.02716003","0.03211613","0.012512026","0.0204501","0.02340676","0.0483235"
"L08","1","add","10","0.03878842","0.02639501","0.012922937","0.01744108","0.01824821","0.0501278"
"L08","1","add","11","0.03252519","0.02759313","0.013041234","0.01975767","0.011291353","0.0487343"
"L08","1","add","12","0.0330932","0.0412851","0.01696674","0.0255121","0.016164973","0.0539153"
"L08","1","add","13","0.02618848","0.0372506","0.008427498","0.0311674","0.012612209","0.0503448"
"L08","1","add","14","0.0390461","0.036333","0.007830927","0.02279399","0.0194427","0.0523386"
"L08","1","add","15","0.03093","0.03211864","0.012264677","0.0283383","0.01512526","0.0502445"
"L09","1","add","1","0.1243399","0.07977365","0.0704812","0.03371056","0.02789991","0.1701796"
"L09","1","add","2","0.0885197","0.05662824","0.03095054","0.02586052","0.02447257","0.095587"
"L09","1","add","3","0.05442087","0.07752206","0.02874568","0.023101861","0.018213019","0.0833824"
"L09","1","add","4","0.07427662","0.04792683","0.0356348094","0.02313968","0.01765486","0.0825902"
"L09","1","add","5","0.055979006","0.05651998","0.034850107","0.018436786","0.02088588","0.079039"
"L09","1","add","6","0.08179022","0.06697026","0.03041446","0.030623439","0.01189962","0.0922909"
"L09","1","add","7","0.07093048","0.05299894","0.038716434","0.018286892","0.01893203","0.0848753"
"L09","1","add","8","0.07480184","0.039250353","0.03063745","0.02545273","0.0198799","0.0794868"
"L09","1","add","9","0.06081239","0.043920967","0.04111211","0.016632448","0.013871657","0.076818"
"L09","1","add","10","0.09543459","0.03587426","0.0495064","0.022412187","0.013421616","0.0913021"
"L09","1","add","11","0.09830437","0.03479341","0.02235274","0.016394731","0.010707456","0.0879427"
"L09","1","add","12","0.06086621","0.05196975","0.03262908","0.01630096","0.015181325","0.0745815"
"L09","1","add","13","0.1063683","0.0657468","0.03489165","0.025500099","0.01989665","0.104658"
"L09","1","add","14","0.0895739","0.043262","0.0274714","0.02926152","0.016354003","0.0931112"
"L09","1","add","15","0.10676619","0.04103784","0.032815656","0.03876164","0.0132820369","0.1021128"
"L10","1","add","1","0.03038855","0.026915286","0.0327627","0.02192288","0.02055309","0.0552938"
"L10","1","add","2","0.0628085","0.02717031","0.02866046","0.02894213","0.01451624","0.0656625"
"L10","1","add","3","0.03189611","0.02467437","0.02518462","0.0317767","0.015797318","0.0541582"
"L10","1","add","4","0.05690111","0.026523063","0.02927962","0.01658856","0.014426922","0.0615399"
"L10","1","add","5","0.03866375","0.0203954513","0.020655174","0.02194585","0.0211265","0.0512723"
"L10","1","add","6","0.0304723","0.02828204","0.018237227","0.02550742","0.02362608","0.0522765"
"L10","1","add","7","0.02630094","0.025201757","0.016738729","0.0359846","0.02199498","0.0535304"
"L10","1","add","8","0.03098564","0.020700939","0.0299181","0.01889792","0.01713225","0.0509955"
"L10","1","add","9","0.02820335","0.02252077","0.03382613","0.02494951","0.03340814","0.0578524"
"L10","1","add","10","0.0654349","0.030539475","0.033928907","0.03345501","0.02010836","0.0725442"
"L10","1","add","11","0.02819131","0.02719819","0.023146023","0.02891881","0.01760444","0.0540854"
"L10","1","add","12","0.048131057","0.028050292","0.02051931","0.0420281","0.03054488","0.0650192"
"L10","1","add","13","0.02812083","0.023786415","0.028107226","0.02211982","0.02934988","0.0556746"
"L10","1","add","14","0.03244076","0.02324065","0.016849517","0.02779098","0.02694734","0.0536591"
"L10","1","add","15","0.024073827","0.019945157","0.03472276","0.0310479","0.01812935","0.0540241"
"L11","1","add","1","0.03125275","0.029248218","0.021273613","0.014997936","0.0419716","0.0577979"
"L11","1","add","2","0.07732883","0.06151395","0.03478313","0.03003483","0.03553516","0.0903441"
"L11","1","add","3","0.03981869","0.040734","0.03422207","0.025442826","0.03486","0.0690885"
