"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L05","1","add","2","0.157498","0.0765","0.0609241","0.03450012","0.014637626","0.1394296"
"L05","1","add","3","0.192237","0.0837462","0.0720639","0.02849804","0.01830704","0.163091"
"L05","1","add","4","0.181755","0.1042425","0.05004515","0.02698633","0.011300835","0.158994"
"L05","1","add","5","0.176992","0.0918093","0.030305152","0.01678915","0.009873264","0.148675"
"L05","1","add","6","0.240589","0.0786525","0.05180554","0.018511433","0.012044167","0.187085"
"L05","1","add","7","0.202508","0.05526096","0.0550272","0.01641445","0.014461481","0.158552"
"L05","1","add","8","0.218697","0.07954378","0.03779203","0.02574918","0.02034629","0.172414"
"L05","1","add","9","0.218663","0.0912083","0.023792938","0.02932857","0.011365622","0.173534"
"L05","1","add","10","0.1144011","0.04740169","0.06395722","0.023350149","0.020030533","0.1115018"
"L05","1","add","11","0.234688","0.05964062","0.07188138","0.04729323","0.02037141","0.188301"
"L05","1","add","12","0.183979","0.0720891","0.05571282","0.015209406","0.0092869547","0.150746"
"L05","1","add","13","0.187327","0.1080085","0.03074474","0.02890404","0.01950009","0.161362"
"L05","1","add","14","0.207606","0.0866597","0.026152664","0.025890576","0.009286252","0.165198"
"L05","1","add","15","0.214538","0.0829284","0.04370797","0.017663701","0.01123032","0.170722"
"L06","1","add","1","0.1097876","0.1025396","0.0619591","0.0398008","0.01839857","0.1236134"
"L06","1","add","2","0.0896492","0.0936345","0.0818298","0.0336095","0.02116139","0.1162089"
"L06","1","add","3","0.1096447","0.0893038","0.084869","0.0314011","0.0267464","0.1245389"
"L06","1","add","4","0.1435532","0.082955","0.076291","0.035132","0.020083811","0.1359053"
"L06","1","add","5","0.079225","0.1095485","0.0740479","0.0385323","0.02499224","0.1168584"
"L06","1","add","6","0.139701","0.0787618","0.0805006","0.02332294","0.01654626","0.131446"
"L06","1","add","7","0.1259963","0.0929038","0.0652005","0.02041343","0.0199602","0.12576"
"L06","1","add","8","0.1268189","0.0642158","0.0828481","0.0364712","0.010418682","0.122618"
"L06","1","add","9","0.1198094","0.084709","0.0798905","0.0268554","0.0155945","0.124424"
"L06","1","add","10","0.0986879","0.0862788","0.0720769","0.0291061","0.01071616","0.1125672"
"L06","1","add","11","0.1158156","0.0717486","0.0699751","0.02403026","0.01994946","0.1139259"
"L06","1","add","12","0.1195984","0.0833974","0.0763628","0.02838205","0.010905534","0.121557"
"L06","1","add","13","0.1420269","0.07888","0.0696935","0.0349962","0.01538367","0.132514"
"L06","1","add","14","0.1304645","0.102292","0.0820598","0.0355568","0.01439607","0.137228"
"L06","1","add","15","0.0993921","0.0911029","0.0720706","0.02374709","0.017048891","0.114738"
"L07","1","add","1","0.1738073","0.247029","0.05622939","0.04092098","0.01840578","0.224835"
"L07","1","add","2","0.1276436","0.260438","0.04976729","0.03950992","0.03450122","0.218198"
"L07","1","add","3","0.1378092","0.194072","0.046420332","0.0511316","0.024841799","0.183359"
"L07","1","add","4","0.1854521","0.2132577","0.029415847","0.02594497","0.02666691","0.208714"
"L07","1","add","5","0.23213","0.19758","0.06385569","0.05167411","0.019152921","0.230088"
"L07","1","add","6","0.216911","0.267797","0.03836646","0.03077284","0.023272026","0.252255"
"L07","1","add","7","0.1756066","0.180928","0.04740538","0.02916622","0.03674819","0.190696"
"L07","1","add","8","0.222885","0.209398","0.06689458","0.05049412","0.023569652","0.230451"
"L07","1","add","9","0.1758465","0.210909","0.06431445","0.021441875","0.030482956","0.207466"
"L07","1","add","10","0.2053493","0.256449","0.033606493","0.030608414","0.03392875","0.240977"
"L07","1","add","11","0.268977","0.2243","0.05987721","0.032236236","0.02972151","0.258312"
"L07","1","add","12","0.1662161","0.1927201","0.042382206","0.04150126","0.01841311","0.191379"
"L07","1","add","13","0.1912436","0.1977206","0.035259656","0.0523824","0.02342395","0.205754"
"L07","1","add","14","0.1833023","0.1870042","0.0275762","0.03793355","0.022191491","0.195478"
"L07","1","add","15","0.1895267","0.10849164","0.05851654","0.03406561","0.024839806","0.1696317"
"L08","1","add","1","0.2075474","0.06269693","0.04777696","0.0526972","0.03227383","0.1689524"
"L08","1","add","2","0.1743047","0.05497565","0.0545739","0.0586664","0.016826833","0.1466273"
"L08","1","add","3","0.199774","0.03315389","0.02673538","0.0591684","0.013621264","0.154183"
"L08","1","add","4","0.198718","0.0422383","0.026295567","0.059748","0.020847303","0.154593"
"L08","1","add","5","0.17168","0.0344831","0.0307281","0.0523764","0.011184171","0.1352121"
"L08","1","add","6","0.180603","0.03420854","0.02894919","0.0412457","0.01452396","0.1390518"
"L08","1","add","7","0.182968","0.0429717","0.02648973","0.039277","0.02467061","0.141459"
"L08","1","add","8","0.192881","0.019262366","0.02018961","0.0454866","0.02004747","0.145632"
"L08","1","add","9","0.170176","0.0327753","0.018447778","0.0341258","0.0157762","0.129384"
"L08","1","add","10","0.187854","0.0350541","0.0311668","0.0409091","0.01758399","0.143851"
"L08","1","add","11","0.171392","0.0372283","0.0325393","0.0404086","0.01815888","0.133194"
"L08","1","add","12","0.185589","0.0358779","0.0337808","0.0339842","0.02101099","0.142144"
"L08","1","add","13","0.168456","0.0360607","0.0436985","0.0368779","0.01745703","0.132773"
"L08","1","add","14","0.164782","0.0311458","0.0303319","0.029007","0.016694318","0.126889"
"L08","1","add","15","0.160957","0.0306468","0.0451452","0.0372823","0.01670189","0.12693"
"L09","1","add","1","0.16344921","0.1599668","0.09337426","0.1109964","0.03457965","0.228249"
"L09","1","add","2","0.2369568","0.06956267","0.05603284","0.0954188","0.018428912","0.198318"
"L09","1","add","3","0.1706217","0.1014892","0.0852413","0.086921","0.02552848","0.172149"
"L09","1","add","4","0.246936","0.084436","0.04084614","0.0670717","0.015553907","0.197474"
"L09","1","add","5","0.2003407","0.135011","0.0771115","0.0712057","0.01825911","0.192621"
"L09","1","add","6","0.1704306","0.1286049","0.05623598","0.0593961","0.01998764","0.1688749"
"L09","1","add","7","0.1372573","0.1204305","0.06029996","0.0995458","0.03260431","0.162591"
"L09","1","add","8","0.154694","0.0799474","0.04909531","0.0660492","0.02710682","0.1435303"
"L09","1","add","9","0.183583","0.1311914","0.04848439","0.0784662","0.019816191","0.17825"
"L09","1","add","10","0.1906966","0.09265274","0.05490566","0.0866134","0.011031715","0.172498"
"L09","1","add","11","0.1074509","0.1235752","0.032313539","0.079355","0.014999679","0.1386179"
"L09","1","add","12","0.283109","0.096483","0.0575661","0.0795508","0.016168593","0.226893"
"L09","1","add","13","0.246616","0.0994601","0.05044745","0.0717262","0.010584875","0.202818"
"L09","1","add","14","0.1639039","0.0891786","0.04422644","0.073631","0.02477047","0.1571839"
"L09","1","add","15","0.234731","0.1563599","0.04818284","0.0768083","0.02764029","0.217344"
"L10","1","add","1","0.1680292","0.1236975","0.0901292","0.0775736","0.0345075","0.175714"
"L10","1","add","2","0.1451408","0.146919","0.1086623","0.0735654","0.0320107","0.179218"
"L10","1","add","3","0.174412","0.1301357","0.1097732","0.0651302","0.03099442","0.184341"
"L10","1","add","4","0.168335","0.1148899","0.1296072","0.0934443","0.01814131","0.187126"
"L10","1","add","5","0.1213173","0.1013758","0.1071538","0.059657","0.02375586","0.145727"
"L10","1","add","6","0.159986","0.1233861","0.1063068","0.069369","0.01927613","0.172799"
"L10","1","add","7","0.1365563","0.1132596","0.1099318","0.0809795","0.02481272","0.163288"
"L10","1","add","8","0.150999","0.1190553","0.1215371","0.0790976","0.02050324","0.174594"
"L10","1","add","9","0.1327847","0.1379272","0.0910757","0.0762494","0.02633265","0.164455"
"L10","1","add","10","0.1530608","0.1147259","0.0892402","0.0736361","0.03003088","0.16353"
"L10","1","add","11","0.1471548","0.1201167","0.1068777","0.0755708","0.0447659","0.171261"
"L10","1","add","12","0.198045","0.1271483","0.107737","0.0590532","0.01469615","0.191834"
"L10","1","add","13","0.1532697","0.1006686","0.1126224","0.0673642","0.0300906","0.164688"
"L10","1","add","14","0.15569","0.1256324","0.1055103","0.0689071","0.02874518","0.171446"
"L10","1","add","15","0.170464","0.1136755","0.0940778","0.0692854","0.02444028","0.171595"
"L11","1","add","1","0.269515","0.0986031","0.06559412","0.03082629","0.01848573","0.214836"
"L11","1","add","2","0.234761","0.1160523","0.04216802","0.017159376","0.03140574","0.193895"
"L11","1","add","3","0.230576","0.0983582","0.04885485","0.0417847","0.02413541","0.188234"
"L11","1","add","4","0.219652","0.1065532","0.0636369","0.02325631","0.01960998","0.184184"
"L11","1","add","5","0.219082","0.1273985","0.0368773","0.019437534","0.02538536","0.186373"
"L11","1","add","6","0.254656","0.0931251","0.0634807","0.02852727","0.01935846","0.201632"
"L11","1","add","7","0.257585","0.098797","0.0788051","0.02660364","0.019697748","0.207722"
"L11","1","add","8","0.220142","0.0961346","0.0709878","0.017975402","0.012983991","0.181065"
"L11","1","add","9","0.226309","0.0923072","0.0619878","0.015849021","0.018026503","0.182364"
"L11","1","add","10","0.23305","0.0725925","0.05289879","0.02638166","0.017979191","0.181216"
"L11","1","add","11","0.217404","0.1122229","0.0605362","0.02313561","0.02346631","0.183794"
"L11","1","add","12","0.189516","0.1015824","0.0609261","0.015198439","0.016614122","0.162444"
"L11","1","add","13","0.24331","0.1035174","0.0585225","0.02015668","0.02183682","0.195242"
"L11","1","add","14","0.219448","0.1088787","0.0627093","0.01463621","0.014676152","0.182624"
"L11","1","add","15","0.199053","0.1014475","0.0529127","0.011825275","0.02403033","0.166196"
"L12","1","add","1","0.175217","0.0797411","0.03207808","0.0409365","0.0312683","0.147951"
"L12","1","add","2","0.1306831","0.0912685","0.0434485","0.0401948","0.0417945","0.1294243"
"L12","1","add","3","0.155503","0.0741187","0.03421656","0.0419144","0.02756344","0.1346253"
"L12","1","add","4","0.189218","0.0520682","0.0489496","0.0465203","0.0374278","0.154122"
"L12","1","add","5","0.150146","0.0593455","0.02088478","0.0348273","0.0319088","0.126961"
"L12","1","add","6","0.168893","0.0809034","0.030090284","0.0425643","0.0373027","0.145383"
"L12","1","add","7","0.176649","0.0716867","0.02302201","0.0328224","0.0392077","0.145284"
"L12","1","add","8","0.183934","0.05320876","0.0371642","0.0439734","0.02243549","0.147248"
"L12","1","add","9","0.168504","0.0509624","0.024779937","0.0503813","0.0309598","0.138261"
"L12","1","add","10","0.166983","0.0690203","0.0222334","0.044168","0.0350289","0.140858"
"L12","1","add","11","0.162594","0.0510056","0.018867004","0.036703","0.02762732","0.130359"
"L12","1","add","12","0.165982","0.0635811","0.0337979","0.0389652","0.02331862","0.136672"
"L12","1","add","13","0.175357","0.0537707","0.02584199","0.0398599","0.02034875","0.140305"
"L12","1","add","14","0.151954","0.0719455","0.0249842","0.0394624","0.0406953","0.132238"
"L12","1","add","15","0.160996","0.0599152","0.02358277","0.02766186","0.011863673","0.129481"
"L13","1","add","1","0.237556","0.059768955","0.04412649","0.02517988","0.014940894","0.180631"
"L13","1","add","2","0.169421","0.049306354","0.02899191","0.01722797","0.016567248","0.1314621"
"L13","1","add","3","0.220293","0.0815645","0.0565716","0.018382916","0.009641362","0.17504"
"L13","1","add","4","0.1648938","0.06358707","0.04152972","0.016960242","0.0209494935","0.1348722"
"L13","1","add","5","0.228909","0.0797908","0.0509556","0.02276182","0.02400066","0.180212"
"L13","1","add","6","0.1713789","0.05935112","0.0487302","0.01492012","0.009468672","0.1374532"
"L13","1","add","7","0.212538","0.05415372","0.0510394","0.018188498","0.011844633","0.163768"
"L13","1","add","8","0.193033","0.05448931","0.04584224","0.017400421","0.015656964","0.150692"
"L13","1","add","9","0.215882","0.0495648","0.0518402","0.026371377","0.009440969","0.165918"
"L13","1","add","10","0.174645","0.03540411","0.03348529","0.015428201","0.02065809","0.1338587"
"L13","1","add","11","0.210349","0.077904","0.05465681","0.03584738","0.0089739515","0.169312"
"L13","1","add","12","0.170629","0.04089764","0.0572443","0.020208067","0.016732908","0.1359016"
"L13","1","add","13","0.189144","0.038773","0.0531861","0.02375558","0.012472582","0.147119"
"L13","1","add","14","0.181788","0.05069689","0.0469389","0.019978851","0.009708151","0.14368"
"L13","1","add","15","0.218088","0.04421641","0.03060715","0.02452088","0.010357534","0.163264"
"L14","1","add","1","0.215116","0.0914951","0.0870939","0.0492297","0.01621967","0.183633"
"L14","1","add","2","0.237948","0.0820805","0.072055","0.0599082","0.01787136","0.193445"
"L14","1","add","3","0.215547","0.0530844","0.0765761","0.056401","0.015930162","0.175577"
"L14","1","add","4","0.184475","0.0846438","0.075359","0.0570301","0.01902153","0.163567"
"L14","1","add","5","0.229431","0.05666183","0.073282","0.057436","0.02011025","0.183501"
"L14","1","add","6","0.1530472","0.0526631","0.0724087","0.0643541","0.01670244","0.139064"
"L14","1","add","7","0.237142","0.0905214","0.0853686","0.0540495","0.01481286","0.196399"
"L14","1","add","8","0.205589","0.0714915","0.0628094","0.0528338","0.01067189","0.169004"
"L14","1","add","9","0.224397","0.0654561","0.0550256","0.0519772","0.014924877","0.177507"
"L14","1","add","10","0.194708","0.0714731","0.1048964","0.0657394","0.011070952","0.175677"
"L14","1","add","11","0.181372","0.065468","0.0728057","0.0444455","0.013422633","0.153067"
"L14","1","add","12","0.197507","0.05051425","0.064118","0.0396181","0.011299735","0.157944"
"L14","1","add","13","0.208063","0.04701104","0.0668335","0.050232","0.01582763","0.166072"
"L14","1","add","14","0.218251","0.0856815","0.0612386","0.03519109","0.01820896","0.177058"
"L14","1","add","15","0.219461","0.0558123","0.0871402","0.0487819","0.017151494","0.179465"
"L15","1","add","1","0.29411","0.03329124","0.02451502","0.03117551","0.036934","0.216357"
"L15","1","add","2","0.243104","0.07171065","0.02664772","0.014170573","0.03265343","0.186226"
"L15","1","add","3","0.264205","0.0705055","0.03063676","0.02552522","0.02812967","0.200408"
"L15","1","add","4","0.300068","0.04623236","0.04522399","0.02225299","0.02916865","0.222381"
"L15","1","add","5","0.292717","0.06137273","0.0388107","0.013767794","0.0353179","0.218627"
"L15","1","add","6","0.275251","0.06332321","0.04412681","0.02341743","0.03030987","0.208306"
"L15","1","add","7","0.282142","0.03552653","0.033379297","0.024989617","0.0358083","0.209327"
"L15","1","add","8","0.295977","0.06212649","0.03128695","0.022867881","0.03303503","0.220892"
"L15","1","add","9","0.314226","0.0672462","0.02427455","0.03706339","0.0380038","0.235208"
"L15","1","add","10","0.270739","0.031631252","0.03501071","0.012378013","0.0403432","0.200829"
"L15","1","add","11","0.293302","0.04702718","0.01796837","0.02843299","0.02461091","0.215815"
"L15","1","add","12","0.313402","0.04750614","0.025862837","0.018033564","0.0385638","0.230447"
"L15","1","add","13","0.243968","0.0534743","0.02443032","0.02131758","0.0330288","0.184342"
"L15","1","add","14","0.280616","0.04796209","0.03016974","0.020586602","0.02735165","0.20721"
"L15","1","add","15","0.283842","0.05178825","0.020986559","0.02001516","0.02242163","0.208911"
"L16","1","add","1","0.181489","0.03060022","0.04078076","0.03149568","0.02051129","0.14089"
"L16","1","add","2","0.1405699","0.01829895","0.013449746","0.02008807","0.029627","0.1097409"
"L16","1","add","3","0.159963","0.028094318","0.02836227","0.02436869","0.02476628","0.1246533"
"L16","1","add","4","0.1391273","0.0327629","0.023019684","0.02422852","0.02662767","0.1109836"
"L16","1","add","5","0.1099196","0.02193146","0.0357104","0.015816336","0.0212123","0.0937093"
"L16","1","add","6","0.1368313","0.016296302","0.02493448","0.0394998","0.01827356","0.1092759"
"L16","1","add","7","0.147326","0.0269375","0.0208199","0.012311831","0.02225229","0.1140605"
"L16","1","add","8","0.159803","0.03139386","0.0253294","0.01857868","0.02152442","0.1231094"
"L16","1","add","9","0.148462","0.015838649","0.02399843","0.0228589","0.02645613","0.1153379"
"L16","1","add","10","0.151131","0.015908565","0.01686945","0.032438","0.02562487","0.1167164"
"L16","1","add","11","0.1311341","0.013700799","0.014369277","0.02610367","0.02252994","0.1014203"
"L16","1","add","12","0.1569017","0.03634562","0.04169447","0.01996084","0.0357615","0.1279034"
"L16","1","add","13","0.07890448","0.07055676","0.0652614","0.0707103","0.03897637","0.1149362"
"L16","1","add","14","0.1329155","0.02760337","0.02655934","0.0311084","0.0346307","0.1071834"
"L16","1","add","15","0.182262","0.03183091","0.02993672","0.03138907","0.0305591","0.139264"
